Epoch [109/2000], Step [20/20], Gen. Loss: 2.2176, Disc Loss: 0.3150, Trained module: discriminator
Epoch [110/2000], Step [20/20], Gen. Loss: 0.4147, Disc Loss: 1.0775, Trained module: generator
Epoch [111/2000], Step [20/20], Gen. Loss: 2.0604, Disc Loss: 0.3241, Trained module: discriminator
Epoch [112/2000], Step [20/20], Gen. Loss: 0.4116, Disc Loss: 1.1161, Trained module: generator
Epoch [113/2000], Step [20/20], Gen. Loss: 2.1720, Disc Loss: 0.3183, Trained module: discriminator
Epoch [114/2000], Step [20/20], Gen. Loss: 0.3794, Disc Loss: 1.1602, Trained module: generator
Epoch [115/2000], Step [20/20], Gen. Loss: 2.1733, Disc Loss: 0.3265, Trained module: discriminator
Epoch [116/2000], Step [20/20], Gen. Loss: 0.3845, Disc Loss: 1.1391, Trained module: generator
Epoch [117/2000], Step [20/20], Gen. Loss: 2.1975, Disc Loss: 0.3154, Trained module: discriminator
Epoch [118/2000], Step [20/20], Gen. Loss: 0.3890, Disc Loss: 1.1238, Trained module: generator
Epoch [119/2000], Step [20/20], Gen. Loss: 2.2166, Disc Loss: 0.3089, Trained module: discriminator
Epoch [120/2000], Step [20/20], Gen. Loss: 0.3675, Disc Loss: 1.1636, Trained module: generator
Epoch [121/2000], Step [20/20], Gen. Loss: 2.2620, Disc Loss: 0.3064, Trained module: discriminator
Epoch [122/2000], Step [20/20], Gen. Loss: 0.3985, Disc Loss: 1.1391, Trained module: generator
Epoch [123/2000], Step [20/20], Gen. Loss: 2.1485, Disc Loss: 0.3248, Trained module: discriminator
Epoch [124/2000], Step [20/20], Gen. Loss: 0.3466, Disc Loss: 1.2352, Trained module: generator
Epoch [125/2000], Step [20/20], Gen. Loss: 2.2669, Disc Loss: 0.3214, Trained module: discriminator
Epoch [126/2000], Step [20/20], Gen. Loss: 0.3881, Disc Loss: 1.1620, Trained module: generator
Epoch [127/2000], Step [20/20], Gen. Loss: 2.1734, Disc Loss: 0.3223, Trained module: discriminator
Epoch [128/2000], Step [20/20], Gen. Loss: 0.3484, Disc Loss: 1.2225, Trained module: generator
Epoch [129/2000], Step [20/20], Gen. Loss: 2.2447, Disc Loss: 0.3225, Trained module: discriminator
